Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	64.11	52 K	8 K	0		
System	1.66	156 K	132 K	4		
 Interrupts	1.52	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		464 K	1,248 K	296		
 Memory Compression	< 0.01	144 K	7,008 K	1312		
csrss.exe		1,544 K	4,892 K	404		
wininit.exe		1,264 K	6,504 K	480		
 services.exe	0.02	4,468 K	9,112 K	584		
  svchost.exe		920 K	3,928 K	748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	9,484 K	24,452 K	812	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	23,308 K	67,564 K	4140	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	129,708 K	196,676 K	4552	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		8,192 K	33,628 K	4732	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,788 K	17,600 K	4932	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,852 K	10,656 K	4956	Microsoft Skype	Microsoft Corporation
   RuntimeBroker.exe		12,992 K	40,424 K	5276	Runtime Broker	Microsoft Corporation
   dllhost.exe		3,512 K	10,836 K	236	COM Surrogate	Microsoft Corporation
   ApplicationFrameHost.exe		8,560 K	26,784 K	3504	Application Frame Host	Microsoft Corporation
   SystemSettings.exe	Suspended	14,160 K	43,156 K	6924	Settings	Microsoft Corporation
   smartscreen.exe		14,124 K	28,592 K	2740	Windows Defender SmartScreen	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	10,784 K	31,860 K	1724	Background Task Host	Microsoft Corporation
   WmiPrvSE.exe		2,248 K	8,416 K	3992		
   dllhost.exe		1,584 K	6,564 K	1148	COM Surrogate	Microsoft Corporation
  svchost.exe	0.01	6,380 K	12,956 K	872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,216 K	7,724 K	912	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,000 K	9,552 K	68	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		13,572 K	16,100 K	1036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,940 K	11,152 K	1076	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,572 K	10,740 K	1104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	57,152 K	63,140 K	1116	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,796 K	7,580 K	1124	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,268 K	5,872 K	1180	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	9.63	5,564 K	14,808 K	1212	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe	0.35	6,848 K	17,172 K	2120	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe	< 0.01	9,416 K	22,604 K	1240	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,088 K	8,208 K	1328	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,764 K	8,152 K	1380	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,272 K	8,884 K	1432	Host Process for Windows Services	Microsoft Corporation
   sihost.exe		6,924 K	33,016 K	2840	Shell Infrastructure Host	Microsoft Corporation
  svchost.exe		3,644 K	16,192 K	1464	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,160 K	7,484 K	1472	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,808 K	9,500 K	1492	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,696 K	7,664 K	1500	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,216 K	12,016 K	1656	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,060 K	12,496 K	1700	Host Process for Windows Services	Microsoft Corporation
   audiodg.exe		7,196 K	12,264 K	7940		
  svchost.exe		3,512 K	8,512 K	1728	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,012 K	11,696 K	1888	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,632 K	6,196 K	1956	Host Process for Windows Services	Microsoft Corporation
